User_ID,Age,Gender,Daily_Usage_Hours,Weekly_Usage_Hours,Platform,Engagement_Level,Addiction_Score,Usage_Type,Device_Used,Content_Type,Posts_Per_Week,Likes_Per_Week,Shares_Per_Week,Comments_Per_Week,Mental_Health_Impact,Geographic_Region,Account_Age_Years,Followers_Count,Followed_Accounts,Time_of_Day,Internet_Type,Battery_Usage_Per_Day,Sleep_Hours
121,20,Male,8.19,63.84,TikTok,Low,3.5,Active,Tablet,Text,14,2,69,13,Neutral,North America,3,1739,665,Morning,WiFi,68.31,7.1
122,26,Other,9.13,15.61,Twitter,Low,9.7,Active,Tablet,Video,11,473,54,160,Negative,Asia,10,5967,174,Night,Mobile Data,70.24,6.7
123,21,Female,2.01,10.96,Facebook,High,2.7,Active,Smartphone,Video,16,313,12,154,Neutral,Africa,7,2021,705,Evening,WiFi,57.87,4.5
124,24,Other,3.88,53.39,TikTok,Medium,2.3,Active,PC,Mixed,11,310,21,80,Positive,Africa,14,4067,1092,Night,Broadband,40.18,4.1
125,25,Other,8.97,62.83,Instagram,High,1.9,Active,PC,Mixed,14,300,97,120,Positive,Europe,1,9132,1428,Evening,WiFi,7.49,6.7
126,56,Other,2.28,28.12,Instagram,Medium,7.3,Active,PC,Text,6,217,8,63,Negative,Africa,11,556,883,Evening,Broadband,15.42,10.0
127,33,Female,3.76,45.9,Snapchat,High,3.6,Passive,Smartphone,Image,2,477,57,61,Positive,Africa,10,9654,1968,Evening,Mobile Data,87.42,6.4
128,43,Other,2.34,47.62,Twitter,High,2.1,Passive,Smartphone,Mixed,21,381,15,98,Negative,Africa,13,4344,1875,Afternoon,Broadband,56.97,3.2
129,49,Other,6.84,40.16,Snapchat,Medium,3.1,Active,PC,Video,19,79,29,20,Positive,South America,3,7157,938,Morning,WiFi,67.76,4.0
130,52,Other,9.71,55.06,TikTok,High,5.3,Passive,Tablet,Image,19,376,72,127,Positive,Asia,4,5215,66,Afternoon,Mobile Data,59.74,9.1
131,20,Male,3.64,29.22,Twitter,High,1.2,Passive,Smartphone,Text,28,210,6,113,Neutral,Asia,12,1011,699,Night,Mobile Data,20.65,7.5
132,58,Female,0.88,45.53,Twitter,Low,4.0,Active,Tablet,Video,16,374,86,123,Neutral,Europe,10,2797,1833,Morning,Mobile Data,13.06,9.1
133,17,Male,5.58,36.06,Twitter,Medium,2.5,Active,PC,Image,17,3,56,8,Negative,North America,1,6332,207,Evening,WiFi,87.01,8.4
134,61,Male,9.65,66.99,Twitter,Low,7.7,Passive,Tablet,Video,14,351,20,11,Negative,North America,8,497,94,Night,WiFi,80.96,8.5
135,31,Male,8.13,8.09,TikTok,Low,4.1,Active,Tablet,Text,16,326,57,57,Positive,North America,1,2326,1810,Afternoon,WiFi,49.68,3.4
136,45,Female,9.09,37.74,Snapchat,High,7.3,Active,Tablet,Image,20,119,45,56,Neutral,Asia,14,1655,836,Morning,WiFi,32.27,4.3
137,26,Female,4.87,12.16,TikTok,High,2.7,Active,PC,Video,8,56,85,127,Negative,South America,8,8820,566,Evening,Broadband,27.06,4.7
138,23,Other,2.97,22.45,Facebook,Low,3.7,Active,Tablet,Image,29,289,83,46,Negative,South America,11,1458,1350,Night,Broadband,84.63,3.3
139,36,Other,3.03,52.06,Twitter,High,5.9,Active,PC,Mixed,27,248,27,172,Negative,Europe,7,1000,692,Night,Broadband,72.45,5.5
140,30,Other,5.01,9.51,Facebook,Medium,5.0,Active,Tablet,Image,26,230,36,76,Negative,Africa,11,5583,590,Evening,Mobile Data,59.04,8.7
141,20,Other,2.55,49.01,Instagram,Low,9.6,Active,Tablet,Mixed,15,195,41,196,Neutral,Europe,1,1026,154,Morning,Mobile Data,42.05,7.7
142,37,Female,8.41,69.0,TikTok,Medium,9.7,Active,PC,Mixed,3,161,22,187,Negative,Europe,8,2345,521,Morning,WiFi,63.27,9.7
143,23,Female,2.07,53.88,Instagram,High,4.6,Passive,Tablet,Image,19,483,20,59,Neutral,South America,5,4813,1609,Morning,Mobile Data,23.81,7.4
144,41,Other,3.93,17.05,Instagram,High,9.8,Passive,Tablet,Text,3,157,28,11,Neutral,North America,11,703,1878,Evening,Broadband,49.87,9.5
145,33,Other,9.01,40.7,TikTok,Low,9.9,Active,Tablet,Image,14,162,40,66,Positive,Europe,5,7070,986,Night,Broadband,88.66,8.4
146,45,Other,7.91,36.66,Facebook,High,7.8,Active,Smartphone,Text,9,401,54,182,Positive,Asia,11,8891,1426,Afternoon,Broadband,42.77,9.3
147,25,Other,8.53,5.41,Instagram,High,3.1,Active,Smartphone,Video,22,223,96,114,Positive,South America,9,1483,137,Evening,Broadband,41.28,4.4
148,14,Male,9.39,12.62,Twitter,Medium,3.7,Passive,PC,Text,27,248,62,136,Positive,Europe,9,2061,381,Morning,WiFi,55.07,7.6
149,43,Male,8.82,10.17,Instagram,High,8.7,Passive,Smartphone,Image,16,101,2,57,Negative,South America,7,5433,1201,Night,Mobile Data,58.5,3.2
150,54,Male,7.3,11.79,Twitter,Low,1.0,Passive,Tablet,Text,14,119,34,124,Positive,Asia,4,6364,1157,Morning,Mobile Data,27.16,4.9
151,37,Other,4.87,29.16,Instagram,Medium,7.7,Active,Tablet,Mixed,8,133,50,97,Negative,North America,6,7613,552,Afternoon,Mobile Data,96.32,7.4
152,31,Other,0.61,56.38,Twitter,Medium,2.8,Passive,Tablet,Image,15,129,93,194,Negative,Asia,11,5120,858,Evening,Mobile Data,57.01,7.8
153,64,Female,9.34,32.74,TikTok,Medium,2.2,Passive,Tablet,Video,14,242,39,184,Neutral,South America,11,7114,1339,Morning,Broadband,10.19,5.7
154,46,Male,1.31,12.64,Twitter,High,5.2,Passive,PC,Text,8,396,68,157,Negative,Europe,2,4788,800,Afternoon,WiFi,9.69,5.4
155,15,Male,9.38,10.77,TikTok,Low,1.9,Passive,Tablet,Text,18,306,10,146,Negative,Asia,9,4928,1720,Night,Mobile Data,51.5,7.7
156,57,Male,8.53,24.82,Instagram,Low,2.9,Passive,PC,Text,20,420,50,108,Neutral,Asia,10,455,1945,Afternoon,WiFi,50.7,9.3
157,41,Female,9.64,56.25,TikTok,Low,2.5,Passive,Tablet,Text,11,369,13,105,Neutral,Europe,14,4646,1477,Morning,Broadband,57.26,7.4
158,52,Other,3.09,19.65,Facebook,High,7.8,Active,PC,Mixed,20,205,52,27,Negative,Asia,7,4953,1182,Afternoon,Mobile Data,92.29,9.9
159,47,Male,5.11,64.1,TikTok,Medium,6.8,Active,PC,Image,10,417,61,118,Negative,South America,11,1997,1634,Morning,Mobile Data,35.53,6.4
160,23,Other,0.75,21.33,Twitter,Low,9.1,Active,PC,Mixed,20,122,93,25,Positive,Africa,11,6628,1366,Morning,Mobile Data,47.55,4.9
161,45,Male,3.18,20.19,TikTok,Low,5.7,Passive,Tablet,Mixed,24,431,99,13,Positive,South America,7,7802,1522,Morning,WiFi,24.78,9.3
162,54,Female,0.62,58.01,Instagram,Low,2.7,Passive,Tablet,Image,15,433,1,64,Negative,Africa,7,5058,962,Afternoon,Broadband,18.24,7.8
163,31,Male,8.26,37.95,Snapchat,Low,4.7,Passive,Tablet,Text,15,193,21,52,Positive,North America,11,6049,1516,Morning,WiFi,60.52,7.1
164,35,Other,7.01,27.27,Facebook,High,1.4,Active,Smartphone,Mixed,5,11,9,69,Neutral,North America,11,1236,1071,Night,Mobile Data,62.37,3.9
165,19,Male,8.53,43.34,Instagram,Medium,6.1,Passive,Smartphone,Mixed,5,255,43,52,Positive,Asia,9,6129,1265,Morning,Broadband,37.15,9.9
166,15,Other,0.86,35.43,Instagram,High,8.5,Passive,Tablet,Mixed,15,432,92,167,Positive,Africa,1,2082,533,Afternoon,Mobile Data,54.17,3.6
167,20,Other,2.51,23.14,Facebook,Medium,9.4,Active,Tablet,Video,9,109,67,162,Neutral,North America,6,2789,131,Evening,Mobile Data,66.64,5.3
168,52,Male,0.68,52.12,TikTok,High,7.2,Passive,Tablet,Video,6,85,47,29,Negative,North America,14,699,208,Evening,Broadband,66.84,9.8
169,61,Male,2.15,49.46,Snapchat,High,8.1,Passive,Smartphone,Mixed,5,207,12,103,Neutral,North America,1,8941,1722,Night,Mobile Data,34.66,4.1
